epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit   lr_attn    lr_cls  lr_rcon    scaff  time
  118  0.0037  0.1262  0.0907  0.1139  0.1097  -0.1348  -0.2184  0.1005  0.0328  0.0243  0.4098  0.000368  0.000368  0.000368  0.1269  263.0s
  119  0.0037  0.1149  0.0897  0.1095  0.0838  -0.1348  -0.2193  0.1005  0.0306  0.0267  0.4117  0.000361  0.000361  0.000361  0.1194  268.3s
  120  0.0038  0.2365  0.1337  0.1646  0.1618  -0.1347  -0.2203  0.1011  0.0462  0.0658  0.4087  0.000353  0.000353  0.000353  0.1119  269.5s
  121  0.0038  0.2092  0.1277  0.1479  0.1179  -0.1347  -0.2214  0.1021  0.0400  0.0627  0.4092  0.000345  0.000345  0.000345  0.1045  269.0s
  122  0.0037  0.1233  0.1018  0.1141  0.0902  -0.1348  -0.2224  0.1021  0.0287  0.0274  0.4106  0.000338  0.000338  0.000338  0.0970  262.9s
  123  0.0036  0.1063  0.0709  0.0948  0.0782  -0.1348  -0.2235  0.1026  0.0254  0.0213  0.4130  0.000331  0.000331  0.000331  0.0896  243.3s
  124  0.0037  0.1399  0.0966  0.1262  0.1135  -0.1348  -0.2245  0.1029  0.0282  0.0474  0.4114  0.000323  0.000323  0.000323  0.0821  248.9s
  125  0.0037  0.1471  0.0876  0.1257  0.1149  -0.1348  -0.2255  0.1036  0.0316  0.0275  0.4128  0.000316  0.000316  0.000316  0.0746  253.8s
  126  0.0037  0.1533  0.0958  0.1263  0.1250  -0.1348  -0.2265  0.1040  0.0323  0.0283  0.4110  0.000309  0.000309  0.000309  0.0672  271.7s
  127  0.0037  0.1538  0.1223  0.1170  0.1474  -0.1348  -0.2275  0.1042  0.0310  0.0362  0.4115  0.000301  0.000301  0.000301  0.0597  283.3s
  128  0.0036  0.1231  0.0781  0.1056  0.0919  -0.1348  -0.2287  0.1051  0.0245  0.0342  0.4126  0.000294  0.000294  0.000294  0.0522  263.7s
  129  0.0036  0.1117  0.0811  0.0964  0.0815  -0.1348  -0.2297  0.1054  0.0216  0.0327  0.4137  0.000287  0.000287  0.000287  0.0448  296.4s
  130  0.0036  0.1157  0.0787  0.0965  0.0789  -0.1348  -0.2307  0.1057  0.0223  0.0272  0.4132  0.000280  0.000280  0.000280  0.0373  282.5s
  131  0.0036  0.0856  0.0562  0.0781  0.0682  -0.1349  -0.2318  0.1061  0.0153  0.0221  0.4175  0.000273  0.000273  0.000273  0.0299  259.1s
  132  0.0036  0.1128  0.0745  0.0918  0.0992  -0.1348  -0.2328  0.1067  0.0236  0.0284  0.4147  0.000266  0.000266  0.000266  0.0224  269.6s
  133  0.0036  0.0878  0.0652  0.0602  0.0473  -0.1349  -0.2338  0.1070  0.0153  0.0298  0.4156  0.000259  0.000259  0.000259  0.0149  278.5s
