epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit    lr_enc   lr_read    scaff  time
  138  0.0042  0.0547  0.0525  0.1153  0.0680  -0.1322  -0.2107  0.1038  0.2274  1.3423  0.3290  0.000099  0.000995  0.0000  128.6s
  139  0.0040  0.0229  0.0349  0.0720  0.0399  -0.1321  -0.2108  0.1038  0.2284  1.4778  0.3308  0.000099  0.000991  0.0000  128.4s
  140  0.0043  0.0561  0.0316  0.0266  0.0454  -0.1322  -0.2112  0.1033  0.2180  1.6010  0.3334  0.000099  0.000986  0.0000  128.4s
  141  0.0039  0.0172  0.0137  0.0159  0.0141  -0.1322  -0.2115  0.1031  0.2109  1.4211  0.3334  0.000098  0.000980  0.0000  128.6s
  142  0.0040  0.0329  0.0332  0.0256  0.0567  -0.1322  -0.2110  0.1023  0.2127  1.5509  0.3274  0.000097  0.000973  0.0000  128.2s
  143  0.0041  0.0690  0.0254  0.0378  0.0347  -0.1322  -0.2113  0.1052  0.2106  1.7079  0.3304  0.000096  0.000964  0.0000  128.6s
  144  0.0040  0.0293  0.0431  0.0334  0.0212  -0.1322  -0.2105  0.1039  0.2148  1.2087  0.3286  0.000095  0.000955  0.0000  128.3s
  145  0.0038  0.0209  0.0217  0.0158  0.0178  -0.1322  -0.2112  0.1033  0.2134  1.2577  0.3330  0.000094  0.000944  0.0000  128.4s
  146  0.0038  0.0112  0.0093  0.0088  0.0110  -0.1322  -0.2113  0.1034  0.2087  1.1084  0.3315  0.000093  0.000933  0.0000  129.1s
  147  0.0039  0.0312  0.0357  0.0474  0.0283  -0.1322  -0.2113  0.1025  0.2050  1.7079  0.3296  0.000092  0.000921  0.0000  128.4s
  148  0.0037  0.0127  0.0073  0.0094  0.0086  -0.1323  -0.2115  0.1021  0.2064  1.4275  0.3304  0.000091  0.000907  0.0000  128.3s
  149  0.0040  0.0113  0.0112  0.0123  0.0189  -0.1323  -0.2121  0.1042  0.2038  1.3447  0.3339  0.000089  0.000893  0.0000  128.4s
  150  0.0038  0.0178  0.0096  0.0096  0.0108  -0.1322  -0.2121  0.1036  0.2015  1.4368  0.3345  0.000088  0.000878  0.0000  128.3s
  151  0.0037  0.0133  0.0051  0.0055  0.0122  -0.1323  -0.2123  0.1042  0.2004  1.4109  0.3358  0.000086  0.000862  0.0000  128.6s
  152  0.0037  0.0116  0.0227  0.0100  0.0064  -0.1322  -0.2121  0.1034  0.1979  1.0794  0.3358  0.000085  0.000845  0.0000  128.4s
  153  0.0037  0.0107  0.0063  0.0144  0.0093  -0.1322  -0.2123  0.1029  0.1980  1.1652  0.3338  0.000083  0.000827  0.0000  128.3s
  154  0.0039  0.0468  0.0391  0.0241  0.0187  -0.1323  -0.2131  0.1043  0.1974  1.5023  0.3330  0.000081  0.000809  0.0000  128.3s
  155  0.0037  0.0187  0.0087  0.0143  0.0118  -0.1323  -0.2127  0.1038  0.1971  1.3338  0.3352  0.000079  0.000790  0.0000  128.5s
  156  0.0038  0.0081  0.0102  0.0237  0.0070  -0.1323  -0.2130  0.1044  0.1872  1.1415  0.3370  0.000077  0.000770  0.0000  128.4s
  157  0.0038  0.0087  0.0066  0.0097  0.0075  -0.1323  -0.2134  0.1037  0.1882  1.2616  0.3360  0.000075  0.000750  0.0000  128.6s
  158  0.0038  0.0064  0.0017  0.0057  0.0132  -0.1323  -0.2136  0.1039  0.1831  1.2678  0.3339  0.000073  0.000729  0.0000  128.5s
  159  0.0037  0.0187  0.0157  0.0086  0.0091  -0.1323  -0.2140  0.1041  0.1833  1.4469  0.3366  0.000071  0.000708  0.0000  129.3s
  160  0.0036  0.0092  0.0095  0.0066  0.0050  -0.1323  -0.2137  0.1045  0.1820  1.0721  0.3373  0.000069  0.000686  0.0000  128.8s
  161  0.0036  0.0067  0.0043  0.0078  0.0047  -0.1323  -0.2141  0.1039  0.1768  1.2889  0.3369  0.000066  0.000664  0.0000  128.8s
  162  0.0036  0.0075  0.0095  0.0050  0.0030  -0.1323  -0.2144  0.1036  0.1751  1.3286  0.3366  0.000064  0.000641  0.0000  128.4s
  163  0.0037  0.0114  0.0038  0.0038  0.0025  -0.1323  -0.2149  0.1035  0.1719  1.0759  0.3351  0.000062  0.000618  0.0000  128.4s
  164  0.0037  0.0067  0.0231  0.0209  0.0063  -0.1323  -0.2154  0.1040  0.1694  1.0339  0.3361  0.000059  0.000595  0.0000  128.4s
  165  0.0037  0.0126  0.0234  0.0142  0.0142  -0.1323  -0.2155  0.1037  0.1682  1.4530  0.3357  0.000057  0.000571  0.0000  128.6s
  166  0.0036  0.0117  0.0073  0.0061  0.0062  -0.1323  -0.2151  0.1024  0.1667  1.3155  0.3368  0.000055  0.000548  0.0000  128.4s
  167  0.0036  0.0068  0.0023  0.0043  0.0049  -0.1323  -0.2157  0.1023  0.1667  0.9949  0.3385  0.000052  0.000524  0.0000  128.3s
  168  0.0036  0.0036  0.0037  0.0047  0.0040  -0.1323  -0.2157  0.1027  0.1650  1.3304  0.3409  0.000050  0.000500  0.0000  128.4s
  169  0.0036  0.0069  0.0017  0.0064  0.0024  -0.1323  -0.2160  0.1026  0.1599  0.9461  0.3421  0.000048  0.000476  0.0000  128.6s
  170  0.0036  0.0050  0.0077  0.0116  0.0019  -0.1323  -0.2165  0.1028  0.1590  1.2458  0.3402  0.000045  0.000452  0.0000  128.2s
