epoch   recon     ltr    case     attn     div     hit  recode  content    traj     pen  rr_cls  rr_ltr  rr_cas   lr_attn    lr_mot   scaff  time
  126  0.0049  0.1357  0.2608  -1.8458  0.0717  0.3942  0.0019   0.0042  0.4174  0.1634  8.1578  0.1447  0.5198  0.000309  0.000309  0.1000  76.9s
  127  0.0046  0.1262  0.2503  -1.8459  0.0716  0.3965  0.0015   0.0045  0.4172  0.1744  6.4603  0.1880  0.5243  0.000301  0.000301  0.1000  77.5s
  128  0.0045  0.1185  0.2478  -1.8458  0.0715  0.3958  0.0014   0.0052  0.4277  0.2408  6.7545  0.1802  0.5337  0.000294  0.000294  0.1000  77.1s
  129  0.0050  0.1417  0.2563  -1.8452  0.0716  0.3970  0.0023   0.0154  0.4311  0.2804  6.5086  0.2123  0.5311  0.000287  0.000287  0.1000  75.6s
  130  0.0059  0.2150  0.2650  -1.8439  0.0722  0.3937  0.0038   0.0446  0.4367  0.3411  8.5398  0.1816  0.5405  0.000280  0.000280  0.1000  77.5s
  131  0.0049  0.1429  0.2516  -1.8454  0.0716  0.3970  0.0021   0.0144  0.4767  0.3475  7.8247  0.1824  0.5169  0.000273  0.000273  0.1000  75.5s
  132  0.0047  0.1414  0.2411  -1.8458  0.0717  0.3963  0.0018   0.0084  0.4888  0.3170  6.3506  0.1879  0.5345  0.000266  0.000266  0.1000  76.7s
  133  0.0045  0.1221  0.2368  -1.8457  0.0714  0.3969  0.0013   0.0057  0.4911  0.3640  5.7169  0.2296  0.5566  0.000259  0.000259  0.1000  77.1s
  134  0.0046  0.1250  0.2430  -1.8455  0.0715  0.3956  0.0017   0.0138  0.4680  0.3414  5.6075  0.2311  0.5380  0.000252  0.000252  0.1000  76.0s
  135  0.0044  0.1229  0.2396  -1.8457  0.0713  0.3952  0.0013   0.0056  0.4483  0.2763  5.1847  0.2597  0.5396  0.000245  0.000245  0.1000  81.1s
  136  0.0043  0.1164  0.2425  -1.8458  0.0714  0.3946  0.0011   0.0050  0.4502  0.2757  5.1244  0.2680  0.5096  0.000239  0.000239  0.1000  77.3s
  137  0.0042  0.1112  0.2426  -1.8459  0.0713  0.3950  0.0009   0.0029  0.4496  0.2689  4.8960  0.2659  0.5518  0.000232  0.000232  0.1000  79.6s
  138  0.0042  0.1112  0.2402  -1.8461  0.0715  0.3947  0.0010   0.0020  0.4475  0.2612  5.3488  0.2773  0.5622  0.000225  0.000225  0.1000  76.5s
  139  0.0042  0.1083  0.2358  -1.8458  0.0712  0.3947  0.0009   0.0027  0.4356  0.2742  5.8214  0.2562  0.6062  0.000219  0.000219  0.1000  78.1s
  140  0.0053  0.1726  0.2693  -1.8441  0.0707  0.3937  0.0028   0.0200  0.4410  0.2896  5.6789  0.2347  0.5111  0.000212  0.000212  0.1000  76.8s
  141  0.0046  0.1256  0.2467  -1.8457  0.0714  0.3939  0.0015   0.0057  0.4453  0.2854  5.5250  0.2739  0.5307  0.000206  0.000206  0.1000  78.1s
  142  0.0046  0.1279  0.2489  -1.8453  0.0710  0.3956  0.0015   0.0082  0.4521  0.2773  5.1795  0.3067  0.5471  0.000200  0.000200  0.1000  76.4s
  143  0.0045  0.1235  0.2509  -1.8459  0.0716  0.3958  0.0014   0.0060  0.4623  0.3070  4.4435  0.3531  0.6012  0.000194  0.000194  0.1000  77.6s
  144  0.0046  0.1333  0.2436  -1.8463  0.0720  0.3952  0.0014   0.0050  0.4609  0.3438  4.7644  0.3408  0.6203  0.000187  0.000187  0.1000  78.5s
  145  0.0042  0.1066  0.2449  -1.8460  0.0713  0.3950  0.0009   0.0061  0.4535  0.3257  4.4772  0.3461  0.6274  0.000181  0.000181  0.1000  75.8s
  146  0.0041  0.1010  0.2437  -1.8460  0.0713  0.3957  0.0008   0.0041  0.4520  0.3119  4.1823  0.3635  0.6396  0.000175  0.000175  0.1000  80.0s
  147  0.0041  0.0995  0.2454  -1.8460  0.0713  0.3948  0.0008   0.0037  0.4538  0.3275  4.1491  0.3684  0.6422  0.000169  0.000169  0.1000  76.5s
  148  0.0041  0.0982  0.2454  -1.8460  0.0713  0.3949  0.0008   0.0041  0.4537  0.3453  3.9606  0.3999  0.6406  0.000163  0.000163  0.1000  78.5s
  149  0.0041  0.0980  0.2468  -1.8460  0.0713  0.3951  0.0007   0.0036  0.4598  0.3360  3.8699  0.4127  0.6310  0.000158  0.000158  0.1000  76.4s
  150  0.0041  0.1018  0.2442  -1.8460  0.0713  0.3948  0.0008   0.0042  0.4536  0.3106  3.7489  0.4059  0.6406  0.000152  0.000152  0.1000  77.2s
